,file_name,transcription,text,text_prediction
0,hate_video_1.wav,related by the methodicity ofiteditediteditediteditediteditediteditediteditediteditediteditediteditediteditediteditediteditediteditediteditediteditediteditedititeditediteditedititititititititited with aditititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititeditititititited,related methodicity ofiteditediteditediteditediteditediteditediteditediteditediteditediteditediteditediteditediteditediteditediteditediteditediteditedititeditediteditedititititititititited aditititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititititeditititititited,__label__anger
1,hate_video_10.wav,but that it is not a man alone alone alone alone alone alone alone alone alone alone and that the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better the better,man alone alone alone alone alone alone alone alone alone alone better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better better,__label__joy
2,hate_video_100.wav,the other the other the other the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the, ,__label__surprise
3,hate_video_101.wav,he's a good man and a good fellow he's a good fellow a man a man a man a man a man a man a man a man a man a man and a horse and a horse and a horse and a horse and a horse and a horse and a horse and a horse and a horse and a horse and a horse and a horse and a horse and a horse and a horse and a horse and a horse and a horse and a horse and a horse and a horse and a horse and a horse and a horse and a horse and a horse and a horse and a horse and a horse and a horse and a horse and a horse and a horse and a horse and a horse and a he for him and a horse and a good and a good and a horse and a horse and a horse and a good and a he for him and a horse and a horse and a horse and a horse and a he for him and a good and a good and a good a,he good man good fellow he good fellow man man man man man man man man man man horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse good good horse horse horse good horse horse horse horse good good good,__label__joy
4,hate_video_102.wav,that is the one that is the other the other and the other the other the other the other the other the other the other the other the other the other the other the other the the other the the other the other the other the other the other the other the the other the other the other the other the other the other the other the other the other the other the other the other the other the other the other the other the other the other the the the other the the the the other the the the the the the the the other the other the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,one,__label__surprise
5,hate_video_103.wav,and that i beg you might like the pharaoh he must have looked in the bag i beg your pardon the physician i beg your dinner a million and no verdicts will make you the thing more terrible for it is that there's been no friend who can live down the shore of the ship's ship,beg might like pharaoh must looked bag beg pardon physician beg dinner million verdict make thing terrible there friend live shore ship ship,__label__sadness
6,hate_video_106.wav,he's a fine fellow he said with a sound that's the way he's a good fellow the man when a gaiter kills a baby no one calls it a radical because it's obvious that all of them are dangerous that maybe no one calls it a right thing he said to himself we'll get a piece of food he said to the others he said with a piece of food he said with a piece of food he's a piece of food he said he's a piece of food he's a piece of food he said he said he said he said he's a piece of it was a pieces a piece he said he said he said he's a piece he's a piece of it was a piece he's a piece of food he's a piece he's a piece he's a piece he's a piece he's a piece he's a piece he's a,he fine fellow said sound thats way he good fellow man gaiter kill baby one call radical obvious dangerous maybe one call right thing said well get piece food said others said piece food said piece food he piece food said he piece food he piece food said said said said he piece piece piece said said said he piece he piece piece he piece food he piece he piece he piece he piece he piece he piece he,__label__joy
7,hate_video_107.wav,it was a very curious thing for you to get into one of the pieces of papers which he was going to the door i mean to show thank you for calling i am going to take all this world sir how you well i am going to work it was a very fine piece of paper which he had received with a piece of paper which he had received a piece of paper which he had received a piece of paper which he gave a piece of paper,curious thing get one piece paper going door mean show thank calling going take world sir well going work fine piece paper received piece paper received piece paper received piece paper gave piece paper,__label__joy
8,hate_video_109.wav,and the land and the land and the land and the land and and all as if in the land,land land land land land,__label__anger
9,hate_video_11.wav,isn't it i've heard you know it cannot turn into the wooden shoes makers up up up and down before you wash your pockets without a rifle take your fingers here sir it's what i am you did the stream a reddish he said to mister bensusan but it is a good piece of paper said mister peter said he said mister peter says he said he said he said it is a good said he said he said he said he said he said he said he said he said he said he said he said it is a pieces he said he said he said he said he said he said he said he said he said he said he said it is a pieces a pieces a pieces a pieces a pieces a pieces a pieces a good said he he said he he he said he said he said he said he said he said he said he he said he said he said he said he he said he,isnt ive heard know turn wooden shoe maker wash pocket without rifle take finger sir stream reddish said mister bensusan good piece paper said mister peter said said mister peter say said said said good said said said said said said said said said said said said piece said said said said said said said said said said said piece piece piece piece piece piece piece good said said said said said said said said said said said said said said,__label__joy
